,source,datafile,completeness
148,KMI,KMI_6484_2010,1.0
149,KMI,KMI_6484_2011,0.9969372129999999
150,KMI,KMI_6484_2012,1.0
151,KMI,KMI_6484_2013,0.934963325
152,KMI,KMI_6484_2014,1.0
153,KMI,KMI_6484_2015,0.998454007
154,KMI,KMI_6484_2016,1.0
155,KMI,KMI_6484_2017,0.7274502840000001
156,KMI,KMI_6494_2012,-1.0
157,KMI,KMI_6494_2013,1.0
158,KMI,KMI_6494_2014,1.0
159,KMI,KMI_6494_2015,0.999831508
160,KMI,KMI_6494_2016,1.0
161,KMI,KMI_6494_2017,1.0
162,KMI,KMI_FS3_1898,1.0
163,KMI,KMI_FS3_1899,1.0
164,KMI,KMI_FS3_1900,1.0
165,KMI,KMI_FS3_1901,1.0
166,KMI,KMI_FS3_1902,1.0
167,KMI,KMI_FS3_1903,1.0
168,KMI,KMI_FS3_1904,1.0
169,KMI,KMI_FS3_1905,1.0
170,KMI,KMI_FS3_1906,1.0
171,KMI,KMI_FS3_1907,1.0
172,KMI,KMI_FS3_1908,1.0
173,KMI,KMI_FS3_1909,1.0
174,KMI,KMI_FS3_1910,1.0
175,KMI,KMI_FS3_1911,1.0
176,KMI,KMI_FS3_1912,1.0
177,KMI,KMI_FS3_1913,1.0
178,KMI,KMI_FS3_1914,1.0
179,KMI,KMI_FS3_1915,1.0
180,KMI,KMI_FS3_1916,1.0
181,KMI,KMI_FS3_1917,1.0
182,KMI,KMI_FS3_1918,1.0
183,KMI,KMI_FS3_1919,1.0
184,KMI,KMI_FS3_1920,1.0
185,KMI,KMI_FS3_1921,1.0
186,KMI,KMI_FS3_1922,1.0
187,KMI,KMI_FS3_1923,1.0
188,KMI,KMI_FS3_1924,1.0
189,KMI,KMI_FS3_1925,1.0
190,KMI,KMI_FS3_1926,1.0
191,KMI,KMI_FS3_1927,1.0
192,KMI,KMI_FS3_1928,1.0
193,KMI,KMI_FS3_1929,1.0
194,KMI,KMI_FS3_1930,1.0
195,KMI,KMI_FS3_1931,1.0
196,KMI,KMI_FS3_1932,1.0
197,KMI,KMI_FS3_1933,1.0
198,KMI,KMI_FS3_1934,1.0
199,KMI,KMI_FS3_1935,1.0
200,KMI,KMI_FS3_1936,1.0
201,KMI,KMI_FS3_1937,1.0
202,KMI,KMI_FS3_1938,1.0
203,KMI,KMI_FS3_1939,1.0
204,KMI,KMI_FS3_1940,1.0
