datafile,source,datafile,completeness,consider,year,station,fname_rainfall,fname_erosivity,file_exists
KMI_6418_2014,KMI,KMI_6418_2014,0.632393085,0,2014,KMI_6418,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6418_2014.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6418_2014new cumdistr salles.txt,1
P11_007_2016,VMM,P11_007_2016,0.994057935,1,2016,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2016new cumdistr salles.txt,1
P11_007_2015,VMM,P11_007_2015,0.999737326,1,2015,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2015.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2015new cumdistr salles.txt,1
P11_007_2012,VMM,P11_007_2012,0.98426385,1,2012,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2012new cumdistr salles.txt,1
KMI_6414_2020,KMI,KMI_6414_2020,0.981448763,1,2020,KMI_6414,,,
P11_007_2011,VMM,P11_007_2011,0.996011396,1,2011,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2011new cumdistr salles.txt,1
P11_007_2010,VMM,P11_007_2010,0.997638167,1,2010,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2010.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2010new cumdistr salles.txt,1
P11_007_2009,VMM,P11_007_2009,0.998115747,1,2009,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2009.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2009new cumdistr salles.txt,1
P11_007_2006,VMM,P11_007_2006,0.960286817,1,2006,P11_007,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_007_2006.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_007_2006new cumdistr salles.txt,1
P11_002_2015,VMM,P11_002_2015,0.978277938,1,2015,P11_002,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_002_2015.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_002_2015new cumdistr salles.txt,1
KMI_6418_2012,KMI,KMI_6418_2012,-1,0,2012,KMI_6418,,,
KMI_6434_2003,KMI,KMI_6434_2003,0.88639201,0,2003,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2003.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2003new cumdistr salles.txt,1
P11_002_2011,VMM,P11_002_2011,0.998847262,1,2011,P11_002,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_002_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_002_2011new cumdistr salles.txt,1
KMI_6434_2005,KMI,KMI_6434_2005,0.913994169,0,2005,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2005.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2005new cumdistr salles.txt,1
P11_002_2007,VMM,P11_002_2007,0.973938943,1,2007,P11_002,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_002_2007.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_002_2007new cumdistr salles.txt,1
P11_002_2006,VMM,P11_002_2006,0.999704579,1,2006,P11_002,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P11_002_2006.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P11_002_2006new cumdistr salles.txt,1
P10_011_2016,VMM,P10_011_2016,1,1,2016,P10_011,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P10_011_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P10_011_2016new cumdistr salles.txt,1
KMI_6434_2009,KMI,KMI_6434_2009,0.781462837,0,2009,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2009.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2009new cumdistr salles.txt,1
KMI_6434_2010,KMI,KMI_6434_2010,0.411550633,0,2010,KMI_6434,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6434_2010.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6434_2010new cumdistr salles.txt,1
